,time,z_minus,z_plus
0,0.0,1000.0,100.0
1,0.125,1136.7,121.4
2,0.25,1283.6,147.2
3,0.375,1464.0,178.6
4,0.5,1652.0,214.7
5,0.625,1880.1,264.1
6,0.75,2125.4,323.4
7,0.875,2409.3,395.3
8,1.0,2728.2,483.8
9,1.125,3079.9,585.9
10,1.25,3480.1,706.6
11,1.375,3933.2,856.6
12,1.5,4461.5,1037.0
13,1.625,5067.9,1247.2
14,1.75,5730.0,1519.5
15,1.875,6498.0,1837.7
16,2.0,7365.3,2225.5
17,2.125,8351.6,2696.6
18,2.25,9465.5,3261.8
19,2.375,10717.9,3955.1
20,2.5,12154.4,4769.7
21,2.625,13784.0,5773.1
22,2.75,15657.2,6989.0
23,2.875,17761.0,8448.5
24,3.0,20119.8,10218.4
25,3.125,22815.6,12360.2
26,3.25,25879.0,14929.9
27,3.375,29314.9,18036.6
28,3.5,33227.7,21805.9
29,3.625,37662.4,26356.6
30,3.75,42681.4,31815.5
31,3.875,48378.3,38437.7
32,4.0,54833.5,46439.0
33,4.125,62096.0,56049.3
34,4.25,70365.6,67788.4
35,4.375,79731.8,81808.4
36,4.5,90278.3,98808.1
37,4.625,102330.2,119342.9
38,4.75,115982.1,144091.4
39,4.875,131611.8,173937.1
40,5.0,149167.0,209956.9
