,time,z_minus,z_plus
0,0.0,1.0,1.0
1,0.01,1.0,1.0
2,0.02,1.0,1.0
3,0.03,1.0,2.0
4,0.04,1.0,2.0
5,0.05,1.0,2.0
6,0.06,1.0,2.0
7,0.07,2.0,2.0
8,0.08,3.0,2.0
9,0.09,3.0,2.0
10,0.1,3.0,2.0
11,0.11,3.0,2.0
12,0.12,3.0,2.0
13,0.13,4.0,2.0
14,0.14,5.0,2.0
15,0.15,5.0,2.0
16,0.16,5.0,2.0
17,0.17,5.0,2.0
18,0.18,10.0,2.0
19,0.19,11.0,3.0
20,0.2,13.0,3.0
21,0.21,15.0,5.0
22,0.22,16.0,5.0
23,0.23,18.0,6.0
24,0.24,21.0,10.0
25,0.25,24.0,12.0
26,0.26,26.0,14.0
27,0.27,26.0,18.0
28,0.28,29.0,21.0
29,0.29,34.0,30.0
30,0.3,36.0,37.0
31,0.31,37.0,41.0
32,0.32,39.0,48.0
33,0.33,43.0,61.0
34,0.34,48.0,68.0
35,0.35,56.0,81.0
36,0.36,65.0,97.0
37,0.37,69.0,110.0
38,0.38,80.0,125.0
39,0.39,88.0,143.0
40,0.4,95.0,166.0
41,0.41,106.0,197.0
42,0.42,120.0,228.0
43,0.43,137.0,251.0
44,0.44,150.0,291.0
45,0.45,162.0,323.0
46,0.46,185.0,362.0
47,0.47,200.0,417.0
48,0.48,220.0,479.0
49,0.49,247.0,549.0
50,0.5,278.0,631.0
51,0.51,308.0,739.0
52,0.52,344.0,880.0
53,0.53,380.0,1028.0
54,0.54,420.0,1188.0
55,0.55,462.0,1375.0
56,0.56,518.0,1583.0
57,0.57,561.0,1856.0
58,0.58,622.0,2165.0
59,0.59,683.0,2500.0
60,0.6,774.0,2890.0
61,0.61,873.0,3406.0
62,0.62,957.0,3949.0
63,0.63,1048.0,4601.0
64,0.64,1162.0,5325.0
65,0.65,1301.0,6226.0
66,0.66,1436.0,7287.0
67,0.67,1579.0,8514.0
68,0.68,1745.0,9895.0
69,0.69,1927.0,11538.0
70,0.7,2135.0,13445.0
71,0.71,2352.0,15639.0
72,0.72,2585.0,18138.0
73,0.73,2857.0,21138.0
74,0.74,3173.0,24409.0
75,0.75,3479.0,28454.0
76,0.76,3799.0,32941.0
77,0.77,4181.0,38254.0
78,0.78,4605.0,44545.0
79,0.79,5073.0,51895.0
80,0.8,5583.0,60162.0
81,0.81,6231.0,69892.0
82,0.82,6924.0,81150.0
83,0.83,7645.0,94075.0
84,0.84,8437.0,109281.0
85,0.85,9295.0,127060.0
86,0.86,10300.0,147627.0
87,0.87,11373.0,171616.0
88,0.88,12564.0,199724.0
89,0.89,13905.0,232196.0
90,0.9,15372.0,269643.0
91,0.91,17056.0,313481.0
92,0.92,18878.0,364018.0
93,0.93,20874.0,423078.0
94,0.94,23110.0,491397.0
95,0.95,25549.0,571122.0
96,0.96,28272.0,663548.0
97,0.97,31336.0,771605.0
98,0.98,34600.0,895896.0
99,0.99,38303.0,1040653.0
100,1.0,42233.0,1209478.0
101,1.01,46747.0,1404971.0
102,1.02,51643.0,1632069.0
103,1.03,57089.0,1896086.0
104,1.04,62911.0,2202925.0
105,1.05,69390.0,2558982.0
106,1.06,76609.0,2974362.0
107,1.07,84637.0,3454425.0
108,1.08,93613.0,4013391.0
109,1.09,103397.0,4665036.0
110,1.1,114217.0,5418975.0
111,1.11,126232.0,6298294.0
112,1.12,139466.0,7315991.0
113,1.13,154102.0,8499501.0
114,1.14,170233.0,9877086.0
115,1.15,187801.0,11474579.0
116,1.16,207356.0,13332383.0
117,1.17,229163.0,15490016.0
118,1.18,253026.0,17996273.0
119,1.19,279672.0,20910188.0
120,1.2,309331.0,24292287.0
