,time,z_minus,z_plus
0,0.0,1.0,0.0
1,0.01,1.0,0.0
2,0.02,1.0,0.0
3,0.03,1.0,0.0
4,0.04,1.0,0.0
5,0.05,1.0,0.0
6,0.06,2.0,0.0
7,0.07,2.0,0.0
8,0.08,3.0,0.0
9,0.09,3.0,0.0
10,0.1,4.0,0.0
11,0.11,4.0,0.0
12,0.12,4.0,0.0
13,0.13,4.0,0.0
14,0.14,7.0,1.0
15,0.15,7.0,1.0
16,0.16,7.0,2.0
17,0.17,7.0,2.0
18,0.18,8.0,2.0
19,0.19,8.0,2.0
20,0.2,10.0,2.0
21,0.21,13.0,3.0
22,0.22,18.0,3.0
23,0.23,19.0,4.0
24,0.24,20.0,5.0
25,0.25,26.0,5.0
26,0.26,32.0,6.0
27,0.27,41.0,6.0
28,0.28,51.0,6.0
29,0.29,58.0,7.0
30,0.3,76.0,7.0
31,0.31,86.0,9.0
32,0.32,98.0,9.0
33,0.33,118.0,10.0
34,0.34,136.0,13.0
35,0.35,161.0,15.0
36,0.36,186.0,18.0
37,0.37,225.0,19.0
38,0.38,254.0,21.0
39,0.39,286.0,23.0
40,0.4,330.0,26.0
41,0.41,391.0,26.0
42,0.42,454.0,28.0
43,0.43,524.0,34.0
44,0.44,622.0,34.0
45,0.45,720.0,40.0
46,0.46,834.0,46.0
47,0.47,956.0,50.0
48,0.48,1120.0,60.0
49,0.49,1333.0,66.0
50,0.5,1542.0,76.0
51,0.51,1792.0,84.0
52,0.52,2079.0,92.0
53,0.53,2441.0,103.0
54,0.54,2829.0,115.0
55,0.55,3250.0,132.0
56,0.56,3809.0,151.0
57,0.57,4486.0,177.0
58,0.58,5247.0,194.0
59,0.59,6103.0,217.0
60,0.6,7139.0,251.0
61,0.61,8322.0,286.0
62,0.62,9653.0,329.0
63,0.63,11147.0,377.0
64,0.64,12952.0,440.0
65,0.65,14997.0,507.0
66,0.66,17378.0,572.0
67,0.67,20228.0,675.0
68,0.68,23420.0,783.0
69,0.69,27104.0,888.0
70,0.7,31544.0,1017.0
71,0.71,36691.0,1166.0
72,0.72,42684.0,1331.0
73,0.73,49466.0,1507.0
74,0.74,57459.0,1747.0
75,0.75,66803.0,2016.0
76,0.76,77700.0,2310.0
77,0.77,90199.0,2650.0
78,0.78,104772.0,3038.0
79,0.79,121588.0,3454.0
80,0.8,141253.0,3933.0
81,0.81,164328.0,4470.0
82,0.82,190928.0,5088.0
83,0.83,221812.0,5821.0
84,0.84,257597.0,6715.0
85,0.85,299423.0,7710.0
86,0.86,347899.0,8871.0
87,0.87,404081.0,10169.0
88,0.88,468979.0,11689.0
89,0.89,544750.0,13512.0
90,0.9,632745.0,15516.0
91,0.91,734944.0,17754.0
92,0.92,853966.0,20405.0
93,0.93,992360.0,23476.0
94,0.94,1152324.0,27102.0
95,0.95,1338970.0,31106.0
96,0.96,1555088.0,35832.0
97,0.97,1806785.0,41431.0
98,0.98,2100035.0,47804.0
99,0.99,2440665.0,55305.0
100,1.0,2836895.0,63754.0
