,time,z_minus,z_plus
0,0.0,1.0,1.0
1,0.01,1.0,1.0
2,0.02,2.0,1.0
3,0.03,3.0,1.0
4,0.04,3.0,1.0
5,0.05,3.0,1.0
6,0.06,3.0,2.0
7,0.07,5.0,2.0
8,0.08,6.0,2.0
9,0.09,8.0,2.0
10,0.1,10.0,2.0
11,0.11,11.0,2.0
12,0.12,12.0,4.0
13,0.13,13.0,4.0
14,0.14,15.0,7.0
15,0.15,19.0,8.0
16,0.16,20.0,10.0
17,0.17,23.0,13.0
18,0.18,35.0,18.0
19,0.19,41.0,19.0
20,0.2,44.0,23.0
21,0.21,45.0,27.0
22,0.22,46.0,33.0
23,0.23,48.0,37.0
24,0.24,53.0,41.0
25,0.25,61.0,47.0
26,0.26,67.0,56.0
27,0.27,75.0,64.0
28,0.28,79.0,70.0
29,0.29,95.0,82.0
30,0.3,105.0,95.0
31,0.31,117.0,111.0
32,0.32,130.0,122.0
33,0.33,143.0,135.0
34,0.34,154.0,151.0
35,0.35,172.0,175.0
36,0.36,196.0,204.0
37,0.37,218.0,241.0
38,0.38,237.0,286.0
39,0.39,259.0,328.0
40,0.4,285.0,384.0
41,0.41,316.0,450.0
42,0.42,351.0,521.0
43,0.43,401.0,598.0
44,0.44,444.0,689.0
45,0.45,491.0,806.0
46,0.46,535.0,949.0
47,0.47,608.0,1114.0
48,0.48,674.0,1281.0
49,0.49,746.0,1501.0
50,0.5,833.0,1749.0
51,0.51,913.0,2012.0
52,0.52,1021.0,2379.0
53,0.53,1137.0,2751.0
54,0.54,1245.0,3178.0
55,0.55,1381.0,3703.0
56,0.56,1518.0,4302.0
57,0.57,1694.0,5039.0
58,0.58,1861.0,5880.0
59,0.59,2035.0,6872.0
60,0.6,2244.0,7996.0
61,0.61,2465.0,9287.0
62,0.62,2729.0,10760.0
63,0.63,3030.0,12467.0
64,0.64,3383.0,14454.0
65,0.65,3752.0,16784.0
66,0.66,4131.0,19561.0
67,0.67,4558.0,22679.0
68,0.68,5050.0,26307.0
69,0.69,5575.0,30582.0
70,0.7,6172.0,35714.0
71,0.71,6829.0,41361.0
72,0.72,7555.0,48102.0
73,0.73,8329.0,55791.0
74,0.74,9207.0,64774.0
75,0.75,10140.0,75250.0
76,0.76,11214.0,87528.0
77,0.77,12394.0,101792.0
78,0.78,13659.0,118154.0
79,0.79,15098.0,137498.0
80,0.8,16646.0,159735.0
81,0.81,18361.0,185380.0
82,0.82,20350.0,215386.0
83,0.83,22573.0,250138.0
84,0.84,25054.0,290884.0
85,0.85,27722.0,338138.0
86,0.86,30704.0,393064.0
87,0.87,33866.0,456459.0
88,0.88,37416.0,530165.0
89,0.89,41453.0,615898.0
90,0.9,45796.0,716039.0
91,0.91,50567.0,832096.0
92,0.92,55821.0,967039.0
93,0.93,61541.0,1123879.0
94,0.94,68063.0,1306396.0
95,0.95,75174.0,1517996.0
96,0.96,83047.0,1763400.0
97,0.97,91951.0,2048531.0
98,0.98,101600.0,2379806.0
99,0.99,112224.0,2765043.0
100,1.0,124081.0,3211964.0
101,1.01,137155.0,3732162.0
102,1.02,151734.0,4335544.0
103,1.03,167707.0,5038347.0
104,1.04,185290.0,5853521.0
105,1.05,204616.0,6801884.0
106,1.06,226175.0,7902207.0
107,1.07,250128.0,9180461.0
108,1.08,276434.0,10665374.0
109,1.09,305354.0,12391108.0
110,1.1,337656.0,14396327.0
111,1.11,373148.0,16726537.0
112,1.12,412398.0,19431691.0
113,1.13,455850.0,22577079.0
114,1.14,504322.0,26230278.0
115,1.15,557365.0,30474554.0
116,1.16,615829.0,35408164.0
117,1.17,681174.0,41135871.0
118,1.18,753522.0,47790480.0
119,1.19,832959.0,55523483.0
120,1.2,920345.0,64514538.0
