,time,z_minus,z_plus
0,0.0,1.0,1.0
1,0.01,1.1,1.1
2,0.02,1.3,1.2
3,0.03,1.4,1.4
4,0.04,1.4,1.5
5,0.05,1.4,1.6
6,0.06,1.6,2.0
7,0.07,1.9,2.3
8,0.08,2.2,2.7
9,0.09,2.6,2.9
10,0.1,3.2,3.0
11,0.11,3.5,3.6
12,0.12,3.9,4.5
13,0.13,4.4,5.5
14,0.14,5.0,6.4
15,0.15,6.0,7.3
16,0.16,6.8,8.5
17,0.17,7.8,9.8
18,0.18,10.0,11.9
19,0.19,11.2,13.6
20,0.2,12.3,15.9
21,0.21,13.4,18.8
22,0.22,14.5,22.7
23,0.23,15.5,26.6
24,0.24,16.9,30.6
25,0.25,18.4,34.4
26,0.26,20.5,40.6
27,0.27,22.5,46.5
28,0.28,24.5,53.2
29,0.29,27.5,61.5
30,0.3,29.7,69.5
31,0.31,32.6,80.3
32,0.32,36.7,92.6
33,0.33,40.5,106.6
34,0.34,43.5,120.6
35,0.35,48.4,139.9
36,0.36,53.4,163.1
37,0.37,60.0,191.1
38,0.38,66.2,223.6
39,0.39,72.3,258.3
40,0.4,80.9,298.1
41,0.41,89.2,345.6
42,0.42,99.5,399.4
43,0.43,112.3,465.1
44,0.44,123.0,536.4
45,0.45,136.1,620.6
46,0.46,149.9,726.9
47,0.47,167.0,849.3
48,0.48,185.6,994.2
49,0.49,206.4,1156.6
50,0.5,227.9,1339.3
51,0.51,253.5,1555.9
52,0.52,281.6,1808.1
53,0.53,309.9,2103.7
54,0.54,340.1,2449.9
55,0.55,377.8,2859.1
56,0.56,417.8,3319.1
57,0.57,465.8,3867.2
58,0.58,511.7,4498.3
59,0.59,560.3,5231.4
60,0.6,619.9,6073.1
61,0.61,684.4,7030.2
62,0.62,758.6,8182.1
63,0.63,840.0,9509.5
64,0.64,931.7,11043.1
65,0.65,1034.1,12823.9
66,0.66,1140.5,14875.5
67,0.67,1259.9,17291.6
68,0.68,1392.7,20072.7
69,0.69,1538.8,23315.4
70,0.7,1696.7,27086.3
71,0.71,1872.4,31459.7
72,0.72,2062.1,36594.3
73,0.73,2267.9,42512.2
74,0.74,2510.3,49385.8
75,0.75,2767.6,57397.0
76,0.76,3064.0,66660.9
77,0.77,3385.7,77489.7
78,0.78,3740.0,90081.5
79,0.79,4143.1,104663.4
80,0.8,4571.4,121555.7
81,0.81,5048.6,141187.4
82,0.82,5579.3,164024.1
83,0.83,6170.5,190602.3
84,0.84,6820.1,221478.9
85,0.85,7534.2,257383.0
86,0.86,8338.2,298951.2
87,0.87,9202.6,347278.5
88,0.88,10169.1,403672.3
89,0.89,11257.3,468957.1
90,0.9,12440.0,544788.7
91,0.91,13745.3,633069.4
92,0.92,15189.2,735539.5
93,0.93,16765.8,854401.4
94,0.94,18541.1,992658.8
95,0.95,20495.9,1153304.8
96,0.96,22650.4,1339992.8
97,0.97,25045.4,1556803.8
98,0.98,27684.4,1808697.1
99,0.99,30600.1,2101225.3
100,1.0,33814.7,2441082.7
101,1.01,37371.5,2836071.0
102,1.02,41335.7,3294799.0
103,1.03,45664.7,3828297.1
104,1.04,50472.6,4447968.6
105,1.05,55760.9,5167544.5
106,1.06,61611.2,6003752.0
107,1.07,68096.8,6975227.9
108,1.08,75252.1,8104189.5
109,1.09,83152.8,9415728.4
110,1.1,91912.5,10938777.8
111,1.11,101541.1,12709266.4
112,1.12,112207.3,14765917.1
113,1.13,124025.3,17155607.3
114,1.14,137123.7,19931485.3
115,1.15,151501.7,23156445.1
116,1.16,167421.8,26903569.3
117,1.17,185116.9,31258108.2
118,1.18,204610.9,36316285.7
119,1.19,226176.2,42194066.3
120,1.2,249918.4,49023371.5
