,time,z_minus,z_plus
0,0.0,1.0,0.0
1,0.012,2.0,0.0
2,0.024,2.0,0.0
3,0.036,4.0,0.0
4,0.048,4.0,0.0
5,0.06,4.0,0.0
6,0.072,4.0,0.0
7,0.084,5.0,0.0
8,0.096,6.0,0.0
9,0.108,8.0,0.0
10,0.12,9.0,0.0
11,0.132,9.0,0.0
12,0.144,11.0,0.0
13,0.156,12.0,0.0
14,0.168,16.0,0.0
15,0.18,20.0,0.0
16,0.192,22.0,0.0
17,0.204,24.0,0.0
18,0.216,32.0,0.0
19,0.228,42.0,0.0
20,0.24,48.0,0.0
21,0.252,64.0,0.0
22,0.264,74.0,0.0
23,0.276,82.0,0.0
24,0.288,95.0,0.0
25,0.3,113.0,0.0
26,0.312,127.0,0.0
27,0.324,148.0,0.0
28,0.336,185.0,0.0
29,0.348,228.0,0.0
30,0.36,277.0,0.0
31,0.372,316.0,0.0
32,0.384,380.0,0.0
33,0.396,468.0,0.0
34,0.408,559.0,0.0
35,0.42,666.0,0.0
36,0.432,794.0,0.0
37,0.444,977.0,0.0
38,0.456,1161.0,0.0
39,0.468,1420.0,0.0
40,0.48,1714.0,0.0
41,0.492,2067.0,0.0
42,0.504,2466.0,0.0
43,0.516,2981.0,0.0
44,0.528,3568.0,0.0
45,0.54,4278.0,0.0
46,0.552,5074.0,0.0
47,0.564,6070.0,0.0
48,0.576,7249.0,0.0
49,0.588,8706.0,0.0
50,0.6,10409.0,0.0
51,0.612,12484.0,0.0
52,0.624,14963.0,0.0
53,0.636,17879.0,0.0
54,0.648,21471.0,0.0
55,0.66,25656.0,0.0
56,0.672,30748.0,0.0
57,0.684,36925.0,0.0
58,0.696,44227.0,0.0
59,0.708,52916.0,0.0
60,0.72,63688.0,0.0
61,0.732,76420.0,0.0
62,0.744,91622.0,0.0
63,0.756,109772.0,0.0
64,0.768,131307.0,0.0
65,0.78,157420.0,0.0
66,0.792,188534.0,0.0
67,0.804,225819.0,0.0
68,0.816,270380.0,0.0
69,0.828,323618.0,0.0
70,0.84,387136.0,0.0
71,0.852,463573.0,0.0
72,0.864,555199.0,0.0
73,0.876,664771.0,0.0
74,0.888,795879.0,0.0
75,0.9,952367.0,0.0
76,0.912,1139583.0,0.0
77,0.924,1364055.0,0.0
78,0.936,1632968.0,0.0
79,0.948,1954404.0,0.0
80,0.96,2340394.0,0.0
81,0.972,2801204.0,0.0
82,0.984,3354488.0,0.0
83,0.996,4015779.0,0.0
84,1.008,4807813.0,0.0
85,1.02,5757724.0,0.0
86,1.032,6894950.0,0.0
87,1.044,8253303.0,0.0
88,1.056,9881255.0,0.0
89,1.068,11829829.0,0.0
90,1.08,14164009.0,0.0
91,1.092,16958542.0,0.0
92,1.104,20304312.0,0.0
93,1.116,24309823.0,0.0
94,1.128,29105764.0,0.0
95,1.14,34846489.0,0.0
96,1.152,41719897.0,0.0
97,1.164,49946810.0,0.0
98,1.176,59795772.0,0.0
99,1.188,71588485.0,0.0
100,1.2,85698148.0,0.0
