,time,z_minus,z_plus
0,0.0,1.0,0.0
1,0.01,1.0,0.0
2,0.02,1.0,0.0
3,0.03,1.0,0.0
4,0.04,1.0,0.0
5,0.05,1.0,0.0
6,0.06,1.0,0.0
7,0.07,1.0,0.0
8,0.08,2.0,0.0
9,0.09,2.0,0.0
10,0.1,2.0,0.0
11,0.11,2.0,0.0
12,0.12,2.0,0.0
13,0.13,2.0,0.0
14,0.14,2.0,0.0
15,0.15,2.0,0.0
16,0.16,2.0,0.0
17,0.17,3.0,0.0
18,0.18,3.0,0.0
19,0.19,4.0,0.0
20,0.2,4.0,0.0
21,0.21,4.0,0.0
22,0.22,5.0,0.0
23,0.23,5.0,0.0
24,0.24,6.0,0.0
25,0.25,6.0,0.0
26,0.26,8.0,0.0
27,0.27,8.0,0.0
28,0.28,10.0,0.0
29,0.29,14.0,0.0
30,0.3,18.0,0.0
31,0.31,19.0,0.0
32,0.32,20.0,0.0
33,0.33,23.0,1.0
34,0.34,26.0,2.0
35,0.35,29.0,2.0
36,0.36,30.0,3.0
37,0.37,38.0,4.0
38,0.38,42.0,4.0
39,0.39,54.0,4.0
40,0.4,58.0,4.0
41,0.41,65.0,4.0
42,0.42,79.0,4.0
43,0.43,88.0,4.0
44,0.44,102.0,4.0
45,0.45,121.0,6.0
46,0.46,145.0,7.0
47,0.47,165.0,7.0
48,0.48,187.0,7.0
49,0.49,223.0,8.0
50,0.5,262.0,8.0
51,0.51,295.0,9.0
52,0.52,347.0,11.0
53,0.53,399.0,13.0
54,0.54,462.0,16.0
55,0.55,546.0,18.0
56,0.56,634.0,20.0
57,0.57,730.0,21.0
58,0.58,837.0,24.0
59,0.59,965.0,27.0
60,0.6,1139.0,30.0
61,0.61,1327.0,36.0
62,0.62,1518.0,41.0
63,0.63,1745.0,46.0
64,0.64,2056.0,54.0
65,0.65,2383.0,64.0
66,0.66,2768.0,70.0
67,0.67,3243.0,77.0
68,0.68,3759.0,84.0
69,0.69,4332.0,91.0
70,0.7,5095.0,102.0
71,0.71,5889.0,120.0
72,0.72,6924.0,135.0
73,0.73,8087.0,150.0
74,0.74,9427.0,180.0
75,0.75,10946.0,215.0
76,0.76,12689.0,249.0
77,0.77,14813.0,295.0
78,0.78,17308.0,351.0
79,0.79,20168.0,417.0
80,0.8,23355.0,482.0
81,0.81,27157.0,560.0
82,0.82,31516.0,638.0
83,0.83,36551.0,743.0
84,0.84,42459.0,877.0
85,0.85,49441.0,1003.0
86,0.86,57407.0,1190.0
87,0.87,66644.0,1371.0
88,0.88,77454.0,1600.0
89,0.89,89982.0,1869.0
90,0.9,104469.0,2220.0
91,0.91,121454.0,2562.0
92,0.92,141192.0,2984.0
93,0.93,164279.0,3455.0
94,0.94,190948.0,3980.0
95,0.95,222133.0,4607.0
96,0.96,257863.0,5326.0
97,0.97,299800.0,6201.0
98,0.98,348762.0,7227.0
99,0.99,405002.0,8452.0
100,1.0,470940.0,9738.0
